time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	5	0.002	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.776477	0.549373	5.00293	0.0896936	0.00449755	radar	3.13579	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.06357	0.565576	5.00329	0.0811189	0.0038653	lidar	1.06977	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.27974	0.535446	5.00011	0.0622619	-0.000605356	radar	2.14122	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.56541	0.571068	5.00096	0.0605307	-0.000146731	lidar	0.637127	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.7986	0.569366	5.00857	0.0634864	0.00290236	radar	2.02741	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.07739	0.598383	5.01037	0.0626623	0.00393389	lidar	0.838854	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.3079	0.625596	5.01106	0.0798074	0.011551	radar	1.80905	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.57294	0.649947	5.013	0.0787391	0.0118327	lidar	0.372707	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.82886	0.657926	5.02174	0.0711765	0.0089951	radar	0.897193	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.06988	0.670175	5.02	0.0701746	0.00699682	lidar	0.228343	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.33922	0.624577	5.03173	0.0298234	-0.0224115	radar	4.62368	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.62754	0.582563	5.0425	-0.00597574	-0.0486855	lidar	7.43826	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.89033	0.602049	5.06178	0.00423402	-0.0320502	radar	3.55532	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.16157	0.597964	5.06877	-0.00227408	-0.0345184	lidar	1.11226	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.42012	0.612214	5.07473	0.00382555	-0.0249683	radar	0.763459	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.63849	0.66741	5.05839	0.033397	0.00431121	lidar	7.05821	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.89763	0.666206	5.05449	0.0275368	-0.00212063	radar	1.60646	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.18705	0.665609	5.07538	0.0216071	-0.00449627	lidar	5.46076	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.44073	0.672078	5.08871	0.0231125	-0.00204863	radar	2.03515	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.72674	0.682124	5.10941	0.0238673	0.00194366	lidar	4.32898	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
